YYYY MM DD hh mm bands
freq bandwidth energy r1 r2 alpha1 alpha2
2016 07 25 04 00 46
0.033 0.005  0.000 999.00 999.00 999 999
0.038 0.005  0.000 999.00 999.00 999 999
0.043 0.005  0.000 999.00 999.00 999 999
0.048 0.005  0.000 999.00 999.00 999 999
0.053 0.005  0.080   0.54   0.22 108 100
0.058 0.005  0.561   0.36   0.24 176 172
0.063 0.005  1.068   0.34   0.16 160 152
0.068 0.005  1.522   0.53   0.36 152 140
0.073 0.005  2.670   0.75   0.53 164 164
0.078 0.005  1.896   0.66   0.42 164 164
0.083 0.005  0.400   0.45   0.16 176 176
0.088 0.005  0.721   0.52   0.27 224 240
0.093 0.005  1.388   0.67   0.39 260 272
0.100 0.010  2.269   0.82   0.68 280 284
0.110 0.010  1.602   0.88   0.75 296 296
0.120 0.010  1.869   0.90   0.80 292 292
0.130 0.010  1.095   0.86   0.71 288 292
0.140 0.010  0.587   0.85   0.66 296 304
0.150 0.010  0.481   0.85   0.68 288 288
0.160 0.010  0.694   0.91   0.80 288 292
0.170 0.010  0.561   0.88   0.73 288 292
0.180 0.010  0.187   0.78   0.52 284 292
0.190 0.010  0.294   0.79   0.49 284 284
0.200 0.010  0.107   0.67   0.48 308 300
0.210 0.010  0.187   0.68   0.40 284 288
0.220 0.010  0.107   0.64   0.64 276 284
0.230 0.010  0.080   0.56   0.60 284 292
0.240 0.010  0.080   0.51   0.59 296 292
0.250 0.010  0.107   0.12   0.75 276 280
0.260 0.010  0.080   0.32   0.75  96  88
0.270 0.010  0.080   0.22   0.56  40 100
0.280 0.010  0.080   0.21   0.47  16 292
0.290 0.010  0.053   0.23   0.32  92 104
0.300 0.010  0.080   0.15   0.47 100 112
0.310 0.010  0.053   0.29   0.38 180 128
0.320 0.010  0.000   0.32   0.43 268 256
0.330 0.010  0.027   0.20   0.07 124  76
0.340 0.010  0.027   0.52   0.09 200 236
0.350 0.010  0.027   0.26   0.30  52 128
0.365 0.020  0.000   0.41   0.10 120 136
0.385 0.020  0.000 999.00 999.00 999 999
0.405 0.020  0.000 999.00 999.00 999 999
0.425 0.020  0.000 999.00 999.00 999 999
0.445 0.020  0.000 999.00 999.00 999 999
0.465 0.020  0.000 999.00 999.00 999 999
0.485 0.020  0.000 999.00 999.00 999 999
2016 07 25 03 00 46
